[Hz],Trace1[dBm]
1.000000000E+05,-1.53490E+02
1.000000000E+05,-9.03503E+00
3.299800000E+06,-7.94391E+01
3.299800000E+06,-7.62256E+01
6.499600000E+06,-7.99976E+01
6.499600000E+06,-7.78033E+01
9.699400000E+06,-8.00983E+01
9.699400000E+06,-7.81543E+01
1.289920000E+07,-8.00250E+01
1.289920000E+07,-7.80048E+01
1.609900000E+07,-7.96649E+01
1.609900000E+07,-7.76294E+01
1.929880000E+07,-7.96436E+01
1.929880000E+07,-7.76141E+01
2.249860000E+07,-7.91217E+01
2.249860000E+07,-7.73761E+01
2.569840000E+07,-7.89661E+01
2.569840000E+07,-7.68756E+01
2.889820000E+07,-7.90668E+01
2.889820000E+07,-7.67871E+01
3.209800000E+07,-7.86243E+01
3.209800000E+07,-7.66071E+01
3.529780000E+07,-7.84137E+01
3.529780000E+07,-7.63110E+01
3.849760000E+07,-7.78857E+01
3.849760000E+07,-7.60516E+01
4.169740000E+07,-7.74615E+01
4.169740000E+07,-7.57587E+01
4.489720000E+07,-7.72754E+01
4.489720000E+07,-7.52673E+01
4.809700000E+07,-7.70557E+01
4.809700000E+07,-7.50476E+01
5.129680000E+07,-7.64392E+01
5.129680000E+07,-7.46173E+01
5.449660000E+07,-7.62164E+01
5.449660000E+07,-7.42969E+01
5.769640000E+07,-7.57190E+01
5.769640000E+07,-7.37781E+01
6.089620000E+07,-7.52155E+01
6.089620000E+07,-7.32043E+01
6.409600000E+07,-7.49622E+01
6.409600000E+07,-7.28015E+01
6.729580000E+07,-7.42633E+01
6.729580000E+07,-7.24811E+01
7.049560000E+07,-7.40558E+01
7.049560000E+07,-7.20172E+01
7.369540000E+07,-7.33203E+01
7.369540000E+07,-7.13763E+01
7.689520000E+07,-7.29907E+01
7.689520000E+07,-7.09155E+01
8.009500000E+07,-7.23254E+01
8.009500000E+07,-7.02655E+01
8.329480000E+07,-7.22308E+01
8.329480000E+07,-7.02228E+01
8.649460000E+07,-7.16602E+01
8.649460000E+07,-6.93652E+01
8.969440000E+07,-7.12115E+01
8.969440000E+07,-6.94995E+01
9.289420000E+07,-7.11963E+01
9.289420000E+07,-6.92676E+01
9.609400000E+07,-7.09644E+01
9.609400000E+07,-6.88312E+01
9.929380000E+07,-7.09796E+01
9.929380000E+07,-6.85626E+01
1.024936000E+08,-7.06927E+01
