Hz,dBm
1.000000000E+05,-7.26184E+01
1.000000000E+05,-6.63409E+01
1.398000000E+05,-7.82825E+01
1.398000000E+05,-6.74854E+01
1.796000000E+05,-7.96161E+01
1.796000000E+05,-7.06622E+01
2.194000000E+05,-8.31470E+01
2.194000000E+05,-7.41656E+01
2.592000000E+05,-8.47308E+01
2.592000000E+05,-7.51147E+01
2.990000000E+05,-8.24756E+01
2.990000000E+05,-7.60272E+01
3.388000000E+05,-8.33484E+01
3.388000000E+05,-7.61188E+01
3.786000000E+05,-8.50238E+01
3.786000000E+05,-7.73334E+01
4.184000000E+05,-8.55457E+01
4.184000000E+05,-7.72540E+01
4.582000000E+05,-8.52863E+01
4.582000000E+05,-7.88226E+01
4.980000000E+05,-8.64642E+01
4.980000000E+05,-7.66345E+01
5.378000000E+05,-8.56616E+01
5.378000000E+05,-7.48462E+01
5.776000000E+05,-8.59576E+01
5.776000000E+05,-7.42694E+01
6.174000000E+05,-7.97626E+01
6.174000000E+05,-7.30029E+01
6.572000000E+05,-8.40320E+01
6.572000000E+05,-7.27069E+01
6.970000000E+05,-7.62988E+01
6.970000000E+05,-7.05859E+01
7.368000000E+05,-7.53986E+01
7.368000000E+05,-5.92792E+01
7.766000000E+05,-6.75647E+01
7.766000000E+05,-5.67401E+01
8.164000000E+05,-7.28503E+01
8.164000000E+05,-6.26636E+01
8.562000000E+05,-7.85297E+01
8.562000000E+05,-6.94537E+01
8.960000000E+05,-8.32507E+01
8.960000000E+05,-7.53131E+01
9.358000000E+05,-8.29303E+01
9.358000000E+05,-7.65796E+01
9.756000000E+05,-8.55304E+01
9.756000000E+05,-7.75439E+01
1.015400000E+06,-8.93451E+01
1.015400000E+06,-7.93414E+01
1.055200000E+06,-9.10205E+01
1.055200000E+06,-8.05347E+01
1.095000000E+06,-9.01843E+01
1.095000000E+06,-8.15662E+01
1.134800000E+06,-9.08435E+01
1.134800000E+06,-8.44165E+01
1.174600000E+06,-9.22931E+01
1.174600000E+06,-8.18256E+01
1.214400000E+06,-9.46185E+01
1.214400000E+06,-8.23871E+01
1.254200000E+06,-9.36115E+01
1.254200000E+06,-8.38153E+01
1.294000000E+06,-9.44781E+01
1.294000000E+06,-8.48254E+01
1.333800000E+06,-9.29065E+01
1.333800000E+06,-8.52008E+01
1.373600000E+06,-9.45422E+01
1.373600000E+06,-8.76697E+01
1.413400000E+06,-9.58484E+01
1.413400000E+06,-8.43616E+01
1.453200000E+06,-9.53479E+01
1.453200000E+06,-8.50513E+01
1.493000000E+06,-9.44080E+01
1.493000000E+06,-8.43311E+01
1.532800000E+06,-9.26410E+01
1.532800000E+06,-8.50818E+01
1.572600000E+06,-9.53326E+01
1.572600000E+06,-8.67419E+01
1.612400000E+06,-9.64282E+01
1.612400000E+06,-8.46393E+01
1.652200000E+06,-9.48108E+01
1.652200000E+06,-8.83502E+01
1.692000000E+06,-9.72461E+01
1.692000000E+06,-8.78345E+01
1.731800000E+06,-9.42249E+01
1.731800000E+06,-8.38885E+01
1.771600000E+06,-9.45392E+01
1.771600000E+06,-8.74774E+01
1.811400000E+06,-9.33307E+01
1.811400000E+06,-8.70441E+01
1.851200000E+06,-9.61780E+01
1.851200000E+06,-8.71509E+01
1.891000000E+06,-9.49084E+01
1.891000000E+06,-8.89087E+01
1.930800000E+06,-9.38708E+01
1.930800000E+06,-8.78497E+01
1.970600000E+06,-9.61078E+01
1.970600000E+06,-8.81335E+01
2.010400000E+06,-9.60437E+01
2.010400000E+06,-8.51886E+01
2.050200000E+06,-9.73987E+01
2.050200000E+06,-8.99036E+01
2.090000000E+06,-9.71912E+01
2.090000000E+06,-8.78955E+01
2.129800000E+06,-9.36450E+01
2.129800000E+06,-8.75079E+01
2.169600000E+06,-9.63611E+01
2.169600000E+06,-8.72119E+01
2.209400000E+06,-9.72369E+01
2.209400000E+06,-8.76575E+01
2.249200000E+06,-9.35840E+01
2.249200000E+06,-8.72302E+01
2.289000000E+06,-9.33002E+01
2.289000000E+06,-8.70654E+01
2.328800000E+06,-9.81525E+01
2.328800000E+06,-8.66382E+01
2.368600000E+06,-9.56836E+01
2.368600000E+06,-8.79688E+01
2.408400000E+06,-9.78503E+01
2.408400000E+06,-8.82587E+01
2.448200000E+06,-9.65533E+01
2.448200000E+06,-8.97845E+01
2.488000000E+06,-9.43317E+01
2.488000000E+06,-8.79688E+01
2.527800000E+06,-9.61078E+01
2.527800000E+06,-8.88568E+01
2.567600000E+06,-1.01256E+02
2.567600000E+06,-8.87164E+01
2.607400000E+06,-9.79633E+01
