Hz,dBm
1.000000000E+05,-7.70557E+01
1.000000000E+05,-6.69788E+01
1.398000000E+05,-7.63660E+01
1.398000000E+05,-6.86084E+01
1.796000000E+05,-7.83710E+01
1.796000000E+05,-6.98718E+01
2.194000000E+05,-8.37970E+01
2.194000000E+05,-7.42755E+01
2.592000000E+05,-8.08917E+01
2.592000000E+05,-7.40985E+01
2.990000000E+05,-8.30219E+01
2.990000000E+05,-7.61737E+01
3.388000000E+05,-8.56830E+01
3.388000000E+05,-7.79559E+01
3.786000000E+05,-8.73248E+01
3.786000000E+05,-7.82031E+01
4.184000000E+05,-8.76208E+01
4.184000000E+05,-7.78583E+01
4.582000000E+05,-8.67358E+01
4.582000000E+05,-7.94727E+01
4.980000000E+05,-8.47156E+01
4.980000000E+05,-7.95673E+01
5.378000000E+05,-8.95465E+01
5.378000000E+05,-8.00494E+01
5.776000000E+05,-8.75659E+01
5.776000000E+05,-7.98755E+01
6.174000000E+05,-8.82373E+01
6.174000000E+05,-8.06567E+01
6.572000000E+05,-8.99799E+01
6.572000000E+05,-8.06323E+01
6.970000000E+05,-8.76636E+01
6.970000000E+05,-8.23840E+01
7.368000000E+05,-8.97815E+01
7.368000000E+05,-8.18927E+01
7.766000000E+05,-8.94641E+01
7.766000000E+05,-8.17310E+01
8.164000000E+05,-9.15851E+01
8.164000000E+05,-8.34094E+01
8.562000000E+05,-9.27722E+01
8.562000000E+05,-8.37024E+01
8.960000000E+05,-9.11487E+01
8.960000000E+05,-8.28510E+01
9.358000000E+05,-9.28638E+01
9.358000000E+05,-8.47614E+01
9.756000000E+05,-9.22351E+01
9.756000000E+05,-8.27594E+01
1.015400000E+06,-9.28851E+01
1.015400000E+06,-8.33453E+01
1.055200000E+06,-9.56378E+01
1.055200000E+06,-8.49536E+01
1.095000000E+06,-9.40448E+01
1.095000000E+06,-8.55945E+01
1.134800000E+06,-9.30988E+01
1.134800000E+06,-8.55304E+01
1.174600000E+06,-9.39532E+01
1.174600000E+06,-8.62750E+01
1.214400000E+06,-9.13470E+01
1.214400000E+06,-8.64673E+01
1.254200000E+06,-9.47253E+01
1.254200000E+06,-8.58081E+01
1.294000000E+06,-9.75085E+01
1.294000000E+06,-8.56616E+01
1.333800000E+06,-9.38373E+01
1.333800000E+06,-8.50330E+01
1.373600000E+06,-9.33643E+01
1.373600000E+06,-8.58264E+01
1.413400000E+06,-9.45483E+01
1.413400000E+06,-8.61102E+01
1.453200000E+06,-9.57629E+01
1.453200000E+06,-8.67206E+01
1.493000000E+06,-9.42340E+01
1.493000000E+06,-8.54022E+01
1.532800000E+06,-9.38434E+01
1.532800000E+06,-8.60187E+01
1.572600000E+06,-9.67914E+01
1.572600000E+06,-8.78772E+01
1.612400000E+06,-9.75543E+01
1.612400000E+06,-8.71112E+01
1.652200000E+06,-9.39563E+01
1.652200000E+06,-8.77307E+01
1.692000000E+06,-9.59186E+01
1.692000000E+06,-8.70746E+01
1.731800000E+06,-9.61688E+01
1.731800000E+06,-8.81580E+01
1.771600000E+06,-9.42859E+01
1.771600000E+06,-8.69159E+01
1.811400000E+06,-9.50061E+01
1.811400000E+06,-8.62720E+01
1.851200000E+06,-9.56744E+01
1.851200000E+06,-8.77704E+01
1.891000000E+06,-9.47711E+01
1.891000000E+06,-8.79626E+01
1.930800000E+06,-9.42798E+01
1.930800000E+06,-8.70044E+01
1.970600000E+06,-9.42432E+01
1.970600000E+06,-8.84875E+01
2.010400000E+06,-9.94006E+01
2.010400000E+06,-8.77216E+01
2.050200000E+06,-9.73254E+01
2.050200000E+06,-8.88477E+01
2.090000000E+06,-9.40417E+01
2.090000000E+06,-8.74530E+01
2.129800000E+06,-9.65533E+01
2.129800000E+06,-8.82831E+01
2.169600000E+06,-9.67761E+01
2.169600000E+06,-8.85516E+01
2.209400000E+06,-9.74658E+01
2.209400000E+06,-8.79535E+01
2.249200000E+06,-9.59857E+01
2.249200000E+06,-8.84174E+01
2.289000000E+06,-9.70966E+01
2.289000000E+06,-8.94000E+01
2.328800000E+06,-9.89368E+01
2.328800000E+06,-9.04956E+01
2.368600000E+06,-9.80365E+01
2.368600000E+06,-8.80206E+01
2.408400000E+06,-9.45270E+01
2.408400000E+06,-8.63940E+01
2.448200000E+06,-9.58240E+01
2.448200000E+06,-8.58234E+01
2.488000000E+06,-9.50610E+01
2.488000000E+06,-8.92657E+01
2.527800000E+06,-9.97913E+01
2.527800000E+06,-9.01782E+01
2.567600000E+06,-9.74658E+01
2.567600000E+06,-8.96442E+01
2.607400000E+06,-9.57416E+01
2.607400000E+06,-9.02026E+01
2.647200000E+06,-9.59949E+01
2.647200000E+06,-8.93268E+01
2.687000000E+06,-9.54547E+01
2.687000000E+06,-8.80450E+01
2.726800000E+06,-9.79236E+01
2.726800000E+06,-8.75385E+01
2.766600000E+06,-9.61902E+01
2.766600000E+06,-8.86615E+01
2.806400000E+06,-9.89581E+01
2.806400000E+06,-9.03339E+01
2.846200000E+06,-9.65839E+01
2.846200000E+06,-8.92261E+01
2.886000000E+06,-9.82166E+01
2.886000000E+06,-9.01752E+01
2.925800000E+06,-9.80396E+01
2.925800000E+06,-8.80908E+01
2.965600000E+06,-9.67761E+01
2.965600000E+06,-8.85333E+01
3.005400000E+06,-9.77802E+01
3.005400000E+06,-8.87866E+01
3.045200000E+06,-9.89581E+01
3.045200000E+06,-8.91681E+01
3.085000000E+06,-9.47131E+01
3.085000000E+06,-8.80847E+01
3.124800000E+06,-9.82654E+01
3.124800000E+06,-8.90704E+01
3.164600000E+06,-9.72095E+01
3.164600000E+06,-8.92535E+01
3.204400000E+06,-9.68707E+01
3.204400000E+06,-8.92322E+01
3.244200000E+06,-9.68707E+01
3.244200000E+06,-8.98273E+01
3.284000000E+06,-9.67639E+01
3.284000000E+06,-8.71478E+01
3.323800000E+06,-9.87445E+01
3.323800000E+06,-8.75171E+01
3.363600000E+06,-9.71515E+01
3.363600000E+06,-8.85028E+01
3.403400000E+06,-9.84912E+01
3.403400000E+06,-8.97296E+01
3.443200000E+06,-1.01540E+02
3.443200000E+06,-8.79077E+01
3.483000000E+06,-9.53174E+01
3.483000000E+06,-8.75415E+01
3.522800000E+06,-9.71423E+01
3.522800000E+06,-8.88354E+01
3.562600000E+06,-9.54547E+01
3.562600000E+06,-8.73798E+01
3.602400000E+06,-9.46552E+01
3.602400000E+06,-8.77032E+01
3.642200000E+06,-9.66083E+01
3.642200000E+06,-8.78223E+01
3.682000000E+06,-9.42096E+01
3.682000000E+06,-8.76361E+01
3.721800000E+06,-9.94617E+01
3.721800000E+06,-8.97113E+01
3.761600000E+06,-9.43042E+01
3.761600000E+06,-8.88934E+01
3.801400000E+06,-9.46368E+01
3.801400000E+06,-8.93726E+01
3.841200000E+06,-9.60590E+01
3.841200000E+06,-8.81152E+01
3.881000000E+06,-9.78229E+01
3.881000000E+06,-9.03064E+01
3.920800000E+06,-9.80975E+01
3.920800000E+06,-8.87897E+01
3.960600000E+06,-9.57782E+01
3.960600000E+06,-8.94366E+01
4.000400000E+06,-9.70508E+01
4.000400000E+06,-9.00073E+01
4.040200000E+06,-9.75146E+01
4.040200000E+06,-8.86890E+01
4.080000000E+06,-9.77496E+01
4.080000000E+06,-9.01569E+01
4.119800000E+06,-9.63916E+01
4.119800000E+06,-8.76819E+01
4.159600000E+06,-9.83081E+01
4.159600000E+06,-8.83624E+01
4.199400000E+06,-1.01812E+02
4.199400000E+06,-8.89758E+01
4.239200000E+06,-9.73987E+01
4.239200000E+06,-9.02576E+01
4.279000000E+06,-1.00850E+02
4.279000000E+06,-8.85486E+01
4.318800000E+06,-9.88239E+01
4.318800000E+06,-8.93970E+01
4.358600000E+06,-9.94830E+01
4.358600000E+06,-9.09320E+01
4.398400000E+06,-9.67853E+01
4.398400000E+06,-8.86615E+01
4.438200000E+06,-1.03002E+02
4.438200000E+06,-8.89117E+01
4.478000000E+06,-9.99530E+01
4.478000000E+06,-9.14142E+01
4.517800000E+06,-9.74475E+01
4.517800000E+06,-8.97571E+01
4.557600000E+06,-9.69501E+01
4.557600000E+06,-8.96442E+01
4.597400000E+06,-9.74139E+01
4.597400000E+06,-8.86920E+01
4.637200000E+06,-9.64008E+01
4.637200000E+06,-8.96350E+01
4.677000000E+06,-9.96021E+01
4.677000000E+06,-8.85699E+01
4.716800000E+06,-9.61414E+01
4.716800000E+06,-8.89606E+01
4.756600000E+06,-9.55615E+01
4.756600000E+06,-8.76392E+01
4.796400000E+06,-9.68707E+01
4.796400000E+06,-8.87592E+01
4.836200000E+06,-9.97394E+01
4.836200000E+06,-9.00958E+01
4.876000000E+06,-9.66998E+01
4.876000000E+06,-9.04559E+01
4.915800000E+06,-9.48199E+01
4.915800000E+06,-8.91559E+01
4.955600000E+06,-9.90253E+01
4.955600000E+06,-8.78864E+01
4.995400000E+06,-9.69379E+01
4.995400000E+06,-8.80481E+01
5.035200000E+06,-9.75940E+01
5.035200000E+06,-8.76849E+01
5.075000000E+06,-9.84790E+01
5.075000000E+06,-8.95923E+01
5.114800000E+06,-9.73926E+01
5.114800000E+06,-8.90521E+01
5.154600000E+06,-9.68677E+01
5.154600000E+06,-8.90308E+01
5.194400000E+06,-9.82257E+01
5.194400000E+06,-8.92139E+01
5.234200000E+06,-9.62512E+01
5.234200000E+06,-8.77277E+01
5.274000000E+06,-9.78564E+01
5.274000000E+06,-8.95496E+01
5.313800000E+06,-1.00576E+02
5.313800000E+06,-9.02942E+01
5.353600000E+06,-9.91351E+01
5.353600000E+06,-8.97662E+01
5.393400000E+06,-9.77832E+01
5.393400000E+06,-9.10327E+01
5.433200000E+06,-9.61292E+01
5.433200000E+06,-8.67175E+01
5.473000000E+06,-9.76764E+01
5.473000000E+06,-8.68823E+01
5.512800000E+06,-9.78992E+01
5.512800000E+06,-8.97266E+01
5.552600000E+06,-9.66022E+01
5.552600000E+06,-8.79230E+01
5.592400000E+06,-9.65839E+01
5.592400000E+06,-8.87927E+01
5.632200000E+06,-9.77435E+01
5.632200000E+06,-8.92383E+01
5.672000000E+06,-9.65747E+01
5.672000000E+06,-8.88812E+01
5.711800000E+06,-9.58270E+01
5.711800000E+06,-8.77887E+01
5.751600000E+06,-9.50366E+01
5.751600000E+06,-8.70410E+01
5.791400000E+06,-9.90314E+01
5.791400000E+06,-8.88232E+01
5.831200000E+06,-9.54852E+01
5.831200000E+06,-8.92474E+01
5.871000000E+06,-9.71942E+01
5.871000000E+06,-8.97479E+01
5.910800000E+06,-9.91962E+01
5.910800000E+06,-8.94153E+01
5.950600000E+06,-9.61230E+01
5.950600000E+06,-8.94763E+01
5.990400000E+06,-9.63336E+01
5.990400000E+06,-8.72150E+01
6.030200000E+06,-9.78992E+01
6.030200000E+06,-8.81885E+01
6.070000000E+06,-9.58362E+01
6.070000000E+06,-8.91772E+01
6.109800000E+06,-9.88910E+01
6.109800000E+06,-9.12463E+01
6.149600000E+06,-9.83264E+01
6.149600000E+06,-8.96686E+01
6.189400000E+06,-1.00536E+02
6.189400000E+06,-8.89514E+01
6.229200000E+06,-9.47406E+01
6.229200000E+06,-8.80756E+01
6.269000000E+06,-9.60101E+01
6.269000000E+06,-8.84723E+01
6.308800000E+06,-1.00099E+02
6.308800000E+06,-8.86523E+01
6.348600000E+06,-9.73834E+01
6.348600000E+06,-8.84814E+01
6.388400000E+06,-1.01836E+02
6.388400000E+06,-8.95709E+01
6.428200000E+06,-9.87292E+01
6.428200000E+06,-9.16583E+01
6.468000000E+06,-9.88788E+01
6.468000000E+06,-9.19818E+01
6.507800000E+06,-9.80365E+01
6.507800000E+06,-8.90735E+01
6.547600000E+06,-1.00554E+02
6.547600000E+06,-8.80298E+01
6.587400000E+06,-9.90283E+01
6.587400000E+06,-9.06696E+01
6.627200000E+06,-9.79083E+01
6.627200000E+06,-9.11578E+01
6.667000000E+06,-9.97607E+01
6.667000000E+06,-8.86127E+01
6.706800000E+06,-9.45850E+01
6.706800000E+06,-8.77216E+01
6.746600000E+06,-1.00054E+02
6.746600000E+06,-9.01416E+01
6.786400000E+06,-9.70355E+01
6.786400000E+06,-9.00562E+01
6.826200000E+06,-9.81586E+01
6.826200000E+06,-8.78284E+01
6.866000000E+06,-9.69287E+01
6.866000000E+06,-8.98730E+01
6.905800000E+06,-1.01204E+02
6.905800000E+06,-9.04773E+01
6.945600000E+06,-9.93854E+01
6.945600000E+06,-8.87012E+01
6.985400000E+06,-9.68860E+01
6.985400000E+06,-8.89331E+01
7.025200000E+06,-9.87781E+01
7.025200000E+06,-9.00806E+01
7.065000000E+06,-1.00203E+02
7.065000000E+06,-8.93756E+01
7.104800000E+06,-1.03145E+02
7.104800000E+06,-8.96014E+01
7.144600000E+06,-9.96783E+01
7.144600000E+06,-8.95862E+01
7.184400000E+06,-9.93976E+01
7.184400000E+06,-9.05994E+01
7.224200000E+06,-9.99713E+01
7.224200000E+06,-9.04010E+01
7.264000000E+06,-9.90100E+01
7.264000000E+06,-9.14386E+01
7.303800000E+06,-9.81586E+01
7.303800000E+06,-9.05170E+01
7.343600000E+06,-9.70538E+01
7.343600000E+06,-9.05170E+01
7.383400000E+06,-9.90314E+01
7.383400000E+06,-8.98181E+01
7.423200000E+06,-9.86530E+01
7.423200000E+06,-9.07001E+01
7.463000000E+06,-1.00005E+02
7.463000000E+06,-8.85669E+01
7.502800000E+06,-9.77802E+01
7.502800000E+06,-8.99310E+01
7.542600000E+06,-9.76947E+01
7.542600000E+06,-9.08191E+01
7.582400000E+06,-9.99744E+01
7.582400000E+06,-8.94611E+01
7.622200000E+06,-9.68219E+01
7.622200000E+06,-9.01538E+01
7.662000000E+06,-9.96295E+01
7.662000000E+06,-9.11914E+01
7.701800000E+06,-9.63123E+01
7.701800000E+06,-8.93359E+01
7.741600000E+06,-9.75177E+01
7.741600000E+06,-8.81824E+01
7.781400000E+06,-9.86621E+01
7.781400000E+06,-8.88538E+01
7.821200000E+06,-9.64465E+01
7.821200000E+06,-8.91742E+01
7.861000000E+06,-9.78320E+01
7.861000000E+06,-8.95648E+01
7.900800000E+06,-9.90009E+01
7.900800000E+06,-8.84509E+01
7.940600000E+06,-9.74597E+01
7.940600000E+06,-8.91528E+01
7.980400000E+06,-9.48749E+01
7.980400000E+06,-8.65985E+01
8.020200000E+06,-9.69135E+01
8.020200000E+06,-9.07428E+01
8.060000000E+06,-9.60529E+01
8.060000000E+06,-8.88660E+01
8.099800000E+06,-9.82410E+01
8.099800000E+06,-9.16919E+01
8.139600000E+06,-9.65381E+01
8.139600000E+06,-9.03278E+01
8.179400000E+06,-1.00411E+02
8.179400000E+06,-8.93207E+01
8.219200000E+06,-9.89642E+01
8.219200000E+06,-9.08405E+01
8.259000000E+06,-9.71912E+01
8.259000000E+06,-9.03583E+01
8.298800000E+06,-9.99835E+01
8.298800000E+06,-8.97388E+01
8.338600000E+06,-9.61047E+01
8.338600000E+06,-8.90704E+01
8.378400000E+06,-1.01082E+02
8.378400000E+06,-8.93207E+01
8.418200000E+06,-9.68219E+01
8.418200000E+06,-8.91956E+01
8.458000000E+06,-9.92023E+01
8.458000000E+06,-8.97845E+01
8.497800000E+06,-9.87170E+01
8.497800000E+06,-8.94305E+01
8.537600000E+06,-9.97363E+01
8.537600000E+06,-8.88232E+01
8.577400000E+06,-1.00283E+02
8.577400000E+06,-8.72058E+01
8.617200000E+06,-9.93701E+01
8.617200000E+06,-9.11761E+01
8.657000000E+06,-9.77008E+01
8.657000000E+06,-8.93817E+01
8.696800000E+06,-9.87933E+01
8.696800000E+06,-9.03308E+01
8.736600000E+06,-1.00301E+02
8.736600000E+06,-8.95343E+01
8.776400000E+06,-9.77557E+01
8.776400000E+06,-8.83899E+01
8.816200000E+06,-9.81342E+01
8.816200000E+06,-8.84052E+01
8.856000000E+06,-9.91260E+01
8.856000000E+06,-8.89301E+01
8.895800000E+06,-1.01683E+02
8.895800000E+06,-9.14325E+01
8.935600000E+06,-9.59583E+01
8.935600000E+06,-8.84937E+01
8.975400000E+06,-9.74475E+01
8.975400000E+06,-9.13196E+01
9.015200000E+06,-9.66479E+01
9.015200000E+06,-8.96167E+01
9.055000000E+06,-9.85950E+01
9.055000000E+06,-8.98517E+01
9.094800000E+06,-9.69440E+01
9.094800000E+06,-8.90613E+01
9.134600000E+06,-1.00472E+02
9.134600000E+06,-8.96411E+01
9.174400000E+06,-9.61017E+01
