[Hz],Trace1[dBm]
1.000000000E+05,-1.48140E+02
1.000000000E+05,-3.65479E+00
3.299800000E+06,-7.84473E+01
3.299800000E+06,-7.52338E+01
6.499600000E+06,-7.90698E+01
6.499600000E+06,-7.66437E+01
9.699400000E+06,-7.85846E+01
9.699400000E+06,-7.65674E+01
1.289920000E+07,-7.89111E+01
1.289920000E+07,-7.65582E+01
1.609900000E+07,-7.85938E+01
1.609900000E+07,-7.63141E+01
1.929880000E+07,-7.84412E+01
1.929880000E+07,-7.61737E+01
2.249860000E+07,-7.82397E+01
2.249860000E+07,-7.60181E+01
2.569840000E+07,-7.80231E+01
2.569840000E+07,-7.59113E+01
2.889820000E+07,-7.77759E+01
2.889820000E+07,-7.56549E+01
3.209800000E+07,-7.76538E+01
3.209800000E+07,-7.53497E+01
3.529780000E+07,-7.75348E+01
3.529780000E+07,-7.50690E+01
3.849760000E+07,-7.72632E+01
3.849760000E+07,-7.49927E+01
4.169740000E+07,-7.68085E+01
4.169740000E+07,-7.46143E+01
4.489720000E+07,-7.66467E+01
4.489720000E+07,-7.42236E+01
4.809700000E+07,-7.62744E+01
4.809700000E+07,-7.39398E+01
5.129680000E+07,-7.58319E+01
5.129680000E+07,-7.36224E+01
5.449660000E+07,-7.55664E+01
5.449660000E+07,-7.31464E+01
5.769640000E+07,-7.55664E+01
5.769640000E+07,-7.30426E+01
6.089620000E+07,-7.46234E+01
6.089620000E+07,-7.25177E+01
6.409600000E+07,-7.43365E+01
6.409600000E+07,-7.20294E+01
6.729580000E+07,-7.39642E+01
6.729580000E+07,-7.15930E+01
7.049560000E+07,-7.35187E+01
7.049560000E+07,-7.11505E+01
7.369540000E+07,-7.31342E+01
7.369540000E+07,-7.07690E+01
7.689520000E+07,-7.28015E+01
7.689520000E+07,-7.04517E+01
8.009500000E+07,-7.21759E+01
8.009500000E+07,-6.98535E+01
8.329480000E+07,-7.19135E+01
8.329480000E+07,-6.94324E+01
8.649460000E+07,-7.14374E+01
8.649460000E+07,-6.91943E+01
8.969440000E+07,-7.12665E+01
8.969440000E+07,-6.89258E+01
9.289420000E+07,-7.10986E+01
9.289420000E+07,-6.83582E+01
9.609400000E+07,-7.05249E+01
9.609400000E+07,-6.82605E+01
9.929380000E+07,-7.04150E+01
9.929380000E+07,-6.80927E+01
1.024936000E+08,-7.03662E+01
1.024936000E+08,-6.80316E+01
1.056934000E+08,-7.01160E+01
1.056934000E+08,-6.81110E+01
1.088932000E+08,-7.04486E+01
1.088932000E+08,-6.83093E+01
1.120930000E+08,-7.02686E+01
1.120930000E+08,-6.82391E+01
1.152928000E+08,-7.03723E+01
1.152928000E+08,-6.81598E+01
1.184926000E+08,-7.06134E+01
1.184926000E+08,-6.82574E+01
1.216924000E+08,-7.05310E+01
1.216924000E+08,-6.71161E+01
1.248922000E+08,-7.05432E+01
1.248922000E+08,-6.59076E+01
1.280920000E+08,-7.09277E+01
1.280920000E+08,-6.86633E+01
1.312918000E+08,-7.11597E+01
1.312918000E+08,-6.88434E+01
1.344916000E+08,-7.12238E+01
1.344916000E+08,-6.88495E+01
1.376914000E+08,-7.13153E+01
1.376914000E+08,-6.90295E+01
1.408912000E+08,-7.15198E+01
1.408912000E+08,-6.92798E+01
1.440910000E+08,-7.18158E+01
1.440910000E+08,-6.94354E+01
1.472908000E+08,-7.16510E+01
1.472908000E+08,-6.94629E+01
1.504906000E+08,-7.18707E+01
1.504906000E+08,-6.95819E+01
1.536904000E+08,-7.18799E+01
1.536904000E+08,-6.98108E+01
1.568902000E+08,-7.21545E+01
1.568902000E+08,-6.98535E+01
1.600900000E+08,-7.20111E+01
1.600900000E+08,-6.99176E+01
1.632898000E+08,-7.20996E+01
1.632898000E+08,-6.98077E+01
1.664896000E+08,-7.22766E+01
1.664896000E+08,-6.98566E+01
1.696894000E+08,-7.23682E+01
1.696894000E+08,-7.00854E+01
1.728892000E+08,-7.24292E+01
1.728892000E+08,-7.02045E+01
1.760890000E+08,-7.25574E+01
1.760890000E+08,-6.97375E+01
1.792888000E+08,-7.25330E+01
1.792888000E+08,-6.98993E+01
1.824886000E+08,-7.26886E+01
1.824886000E+08,-7.04730E+01
1.856884000E+08,-7.28412E+01
1.856884000E+08,-7.03174E+01
1.888882000E+08,-7.26489E+01
1.888882000E+08,-7.05768E+01
1.920880000E+08,-7.26489E+01
1.920880000E+08,-7.04425E+01
1.952878000E+08,-7.27039E+01
1.952878000E+08,-7.07263E+01
1.984876000E+08,-7.28534E+01
1.984876000E+08,-7.06836E+01
2.016874000E+08,-7.31189E+01
2.016874000E+08,-7.08240E+01
2.048872000E+08,-7.31158E+01
2.048872000E+08,-7.10315E+01
2.080870000E+08,-7.32959E+01
2.080870000E+08,-7.12482E+01
2.112868000E+08,-7.34576E+01
2.112868000E+08,-7.13123E+01
2.144866000E+08,-7.37567E+01
2.144866000E+08,-7.15167E+01
2.176864000E+08,-7.38971E+01
2.176864000E+08,-7.17975E+01
2.208862000E+08,-7.40314E+01
2.208862000E+08,-7.18158E+01
2.240860000E+08,-7.42633E+01
2.240860000E+08,-7.21027E+01
2.272858000E+08,-7.45135E+01
2.272858000E+08,-7.23651E+01
2.304856000E+08,-7.45654E+01
2.304856000E+08,-7.26031E+01
2.336854000E+08,-7.50537E+01
2.336854000E+08,-7.26031E+01
2.368852000E+08,-7.51819E+01
2.368852000E+08,-7.29968E+01
2.400850000E+08,-7.54047E+01
2.400850000E+08,-7.32593E+01
2.432848000E+08,-7.57892E+01
2.432848000E+08,-7.36072E+01
2.464846000E+08,-7.60608E+01
2.464846000E+08,-7.37964E+01
2.496844000E+08,-7.61829E+01
2.496844000E+08,-7.40253E+01
2.528842000E+08,-7.64362E+01
2.528842000E+08,-7.43915E+01
2.560840000E+08,-7.68909E+01
