frequency,dBHz
10000.0,-131.98663042418679
20000.0,-131.4224181360154
30000.0,-133.08432540233977
40000.0,-135.70500467236167
50000.0,-135.83700744726076
60000.0,-135.56628559787055
70000.0,-136.37398630045527
80000.0,-136.2819889464438
90000.0,-136.62232100692268
100000.0,-138.03443648778244
110000.0,-135.21633988679565
120000.0,-133.0546818039129
130000.0,-133.19363018654767
140000.0,-135.24408071017183
150000.0,-137.35503844198504
160000.0,-139.76818815876555
170000.0,-138.28663378977555
180000.0,-137.69203194760814
190000.0,-137.65793659838505
200000.0,-138.02229852461102
210000.0,-139.3698915125281
220000.0,-137.486359710028
230000.0,-136.83214919880885
240000.0,-136.72530231662424
250000.0,-137.03402720722065
260000.0,-136.45175728870262
270000.0,-137.3726193625885
280000.0,-135.18381792759925
290000.0,-134.92089139614345
300000.0,-136.03753314704244
310000.0,-137.1635184909794
320000.0,-136.12287962308534
330000.0,-136.7062057323329
340000.0,-138.14246676755158
350000.0,-137.28873404440276
360000.0,-137.48808316076725
370000.0,-136.65859209085437
380000.0,-135.91860092210962
390000.0,-136.18394277652135
400000.0,-136.74841123569985
410000.0,-134.67265383916038
420000.0,-133.71177621897255
430000.0,-134.85603258059524
440000.0,-134.83461168603728
450000.0,-133.64168701441042
460000.0,-134.4989910669404
470000.0,-135.55812468861424
480000.0,-135.5194119721521
490000.0,-133.68471717519571
500000.0,-134.26222004323427
510000.0,-133.08191999256664
520000.0,-132.2066078477135
530000.0,-132.08228978421258
540000.0,-133.38314093095227
550000.0,-132.74243506154895
560000.0,-132.2962125216969
570000.0,-130.4806939554098
580000.0,-131.11500207460867
590000.0,-132.88398809875466
600000.0,-132.808978981079
610000.0,-131.71836687051763
620000.0,-130.3098892402332
630000.0,-130.55671330953925
640000.0,-131.808610357275
650000.0,-129.24017981803328
660000.0,-126.91803807162728
670000.0,-125.8509487570406
680000.0,-127.28892278174345
690000.0,-125.97058208315318
700000.0,-123.65639872857484
710000.0,-124.68721692882957
720000.0,-124.41441824740089
730000.0,-121.99770439607906
740000.0,-119.19330336788038
750000.0,-116.68086696141549
760000.0,-116.31960486300076
770000.0,-112.21023150785571
780000.0,-109.21094563467625
790000.0,-108.00803911944628
800000.0,-110.15878165123891
810000.0,-115.15465194481983
820000.0,-117.37382676061992
830000.0,-121.5699943086699
840000.0,-124.15817316896373
850000.0,-124.28196478474696
860000.0,-124.62676990819574
870000.0,-124.86912991142363
880000.0,-126.57583536681432
890000.0,-129.02642330531404
900000.0,-129.24310176997574
910000.0,-129.71886566856696
920000.0,-128.78996721916482
930000.0,-128.61200254528242
940000.0,-129.9811771305711
950000.0,-132.62961126062694
960000.0,-134.08030732155055
970000.0,-132.8438188880102
980000.0,-133.2596872627081
990000.0,-134.40383626288377
1000000.0,-134.27475972906495
1010000.0,-134.8402069595469
1020000.0,-134.89757691438197
1030000.0,-134.97367467103936
1040000.0,-134.69072871203323
1050000.0,-135.5418298133006
1060000.0,-136.14290442933955
1070000.0,-136.8882680503085
1080000.0,-136.07291174036303
1090000.0,-135.96859787801708
1100000.0,-137.00888116652015
1110000.0,-139.11655487485046
1120000.0,-139.02001279239894
1130000.0,-137.40677732284186
1140000.0,-137.52995105920098
1150000.0,-139.64777808285092
1160000.0,-139.3384313001704
1170000.0,-140.71177905454726
1180000.0,-137.3751106045787
1190000.0,-138.24215367577307
1200000.0,-138.42002850869594
1210000.0,-138.61877423178723
1220000.0,-139.3809587365661
1230000.0,-139.84868497137776
1240000.0,-138.68138702009557
1250000.0,-140.1891477253057
1260000.0,-141.14427209273055
1270000.0,-141.74554623591953
1280000.0,-143.52157669913663
1290000.0,-143.20637386887202
1300000.0,-142.16320632170977
1310000.0,-141.58710675692475
1320000.0,-142.35538231012586
1330000.0,-142.1368489784568
1340000.0,-142.21785515508537
1350000.0,-142.59034282798586
1360000.0,-143.56322674646694
1370000.0,-142.01732592221137
1380000.0,-140.71134106883142
1390000.0,-141.1540202939592
1400000.0,-143.46904184590193
1410000.0,-144.26471794815396
1420000.0,-144.82425969348122
1430000.0,-143.5615443631324
1440000.0,-143.69742905897175
1450000.0,-143.65461048067874
1460000.0,-144.2678114183679
1470000.0,-144.36294396869494
1480000.0,-145.11389293434982
1490000.0,-145.60750938940367
1500000.0,-145.0178498979504
1510000.0,-144.23032752587582
1520000.0,-144.32648815908092
1530000.0,-144.31811450592107
1540000.0,-144.5792346435876
1550000.0,-144.29069011502077
1560000.0,-145.34310451340028
1570000.0,-145.05470350014826
1580000.0,-144.79600669385695
1590000.0,-145.78046219325893
1600000.0,-146.22434735986135
1610000.0,-145.21811350399395
1620000.0,-144.83426491753573
1630000.0,-145.3152801617593
1640000.0,-145.14156744514943
1650000.0,-145.22040652379587
1660000.0,-145.36208976504633
1670000.0,-146.287289671076
1680000.0,-146.44679296948084
1690000.0,-145.86531402512475
1700000.0,-144.93981720882255
1710000.0,-145.47835051479265
1720000.0,-145.2777649091455
1730000.0,-145.94268875860485
1740000.0,-146.61906425068702
1750000.0,-146.15084191388573
1760000.0,-148.5182272660223
1770000.0,-150.02693858086113
1780000.0,-146.05051563645307
1790000.0,-145.47795106493157
1800000.0,-147.63350393563064
1810000.0,-149.83578315797462
1820000.0,-147.75396879770244
1830000.0,-146.16066607504956
1840000.0,-147.35191203557267
1850000.0,-147.63306255461313
1860000.0,-148.35385852042214
1870000.0,-145.97710419264848
1880000.0,-147.23999560472302
1890000.0,-148.53366772719795
1900000.0,-147.06530834115196
1910000.0,-148.3574002527178
1920000.0,-147.74360319740586
1930000.0,-148.74882117385494
1940000.0,-148.62416604720974
1950000.0,-147.63083050337391
1960000.0,-148.30616318168583
1970000.0,-148.999089276011
1980000.0,-146.84106308130356
1990000.0,-142.8709960547413
2000000.0,-144.52872141725916
2010000.0,-149.9130022949546
2020000.0,-148.8448780849204
2030000.0,-147.44456281059632
2040000.0,-147.91606070322055
2050000.0,-147.91903177703776
2060000.0,-149.43605908635695
2070000.0,-148.77628237426373
2080000.0,-146.68734490344886
2090000.0,-146.49680849406332
2100000.0,-146.28531174603944
2110000.0,-145.71417267205095
2120000.0,-148.04163434612133
2130000.0,-149.73459968688465
2140000.0,-147.3671136367808
2150000.0,-147.22534602727103
2160000.0,-149.06466208620535
2170000.0,-146.78131907997656
2180000.0,-146.23298736710882
2190000.0,-148.05251945623536
2200000.0,-147.9043475766714
2210000.0,-147.41990466448374
2220000.0,-149.67063689396312
2230000.0,-149.11491089438286
2240000.0,-149.044609741016
2250000.0,-148.3658048950538
2260000.0,-150.17677689361528
2270000.0,-148.6736948225944
2280000.0,-148.7526657321515
2290000.0,-149.33484293836761
2300000.0,-148.71614750500777
2310000.0,-148.19505431131267
2320000.0,-148.47645819935735
2330000.0,-149.61866823300784
2340000.0,-149.91786246373192
2350000.0,-150.63948146795443
2360000.0,-151.97608233141472
2370000.0,-151.6510115750958
2380000.0,-151.78205247541075
2390000.0,-151.59806414328284
2400000.0,-151.55277165438315
2410000.0,-151.94947667307574
2420000.0,-151.9777980057529
2430000.0,-150.72005883105697
2440000.0,-148.69647259025948
2450000.0,-149.12389998898027
2460000.0,-150.52796091196768
2470000.0,-153.1646340337631
2480000.0,-152.28867109060903
2490000.0,-150.25774700575394
2500000.0,-150.92064529585042
2510000.0,-149.84634334764488
2520000.0,-150.59678056821366
2530000.0,-151.24632424579784
2540000.0,-150.3335067399323
2550000.0,-150.156891704152
2560000.0,-151.55017482692142
2570000.0,-151.66027964975152
2580000.0,-149.2395831719622
2590000.0,-150.11991714467524
2600000.0,-150.85530047935168
2610000.0,-150.51350325482278
2620000.0,-152.88128266624025
2630000.0,-152.7398485901292
2640000.0,-152.3610609752664
2650000.0,-152.4197825105354
2660000.0,-152.6104505900232
2670000.0,-152.11504121554552
2680000.0,-153.12271854324692
2690000.0,-152.07537079802765
2700000.0,-152.5687985005196
2710000.0,-152.8951846955553
2720000.0,-151.16637501253587
2730000.0,-153.47120466287296
2740000.0,-153.37344770659493
2750000.0,-150.89433969624568
2760000.0,-151.43989589070762
2770000.0,-151.22161281697714
2780000.0,-149.5385791044206
2790000.0,-150.63129590696587
2800000.0,-151.89429508261208
2810000.0,-153.45184939198813
2820000.0,-152.6479784601349
2830000.0,-152.41825964400167
2840000.0,-150.5406125911654
2850000.0,-149.9348722096877
2860000.0,-152.21010032497847
2870000.0,-151.72188077176247
2880000.0,-150.86320808655825
2890000.0,-152.09338734733464
2900000.0,-151.20011061963106
2910000.0,-150.47484517284582
2920000.0,-149.84463840577274
2930000.0,-150.44921002729092
2940000.0,-150.28412659034333
2950000.0,-149.54792756980243
2960000.0,-149.6378360884183
2970000.0,-151.26011639731
2980000.0,-152.82747235582303
2990000.0,-151.00090165886758
3000000.0,-151.76523220616969
3010000.0,-151.25148531411526
3020000.0,-150.93028499205155
3030000.0,-151.0412165604315
3040000.0,-150.54999027547336
3050000.0,-151.44516645524337
3060000.0,-151.2744689929786
3070000.0,-151.0503973163805
3080000.0,-149.07524427025902
3090000.0,-148.0763283880817
3100000.0,-149.73372403690067
3110000.0,-150.28714322846523
3120000.0,-150.59626315127733
3130000.0,-149.9659148960634
3140000.0,-150.3926224396149
3150000.0,-150.662367315587
3160000.0,-149.86340307698046
3170000.0,-148.92669220317708
3180000.0,-148.44261927640704
3190000.0,-150.24906469411386
3200000.0,-150.06577037654165
3210000.0,-149.29899556707647
3220000.0,-148.39265818872198
3230000.0,-149.37448479203178
3240000.0,-148.86977869386675
3250000.0,-148.59646349317066
3260000.0,-149.8340707942199
3270000.0,-149.95499742131364
3280000.0,-149.59206821993885
3290000.0,-149.82907217941877
3300000.0,-150.75172855133997
3310000.0,-149.35182435286146
3320000.0,-148.0709010652376
3330000.0,-148.48514814808203
3340000.0,-148.04976345423506
3350000.0,-148.93632844244144
3360000.0,-149.08720426566785
3370000.0,-148.14637714197045
3380000.0,-149.01199816566643
3390000.0,-148.63351051062764
3400000.0,-148.70196931254216
3410000.0,-150.650102798234
3420000.0,-148.67062821912745
3430000.0,-149.02933138919
3440000.0,-149.5446088268494
3450000.0,-147.46179200983048
3460000.0,-147.93796677125476
3470000.0,-148.32435430686834
3480000.0,-148.69702557519042
3490000.0,-148.309138201322
3500000.0,-148.78724455166684
3510000.0,-149.071419043941
3520000.0,-148.2323872269811
3530000.0,-148.03432051806521
3540000.0,-149.0141163220602
3550000.0,-148.67663846903758
3560000.0,-147.83873694959345
3570000.0,-149.8239709868621
3580000.0,-147.71172852348002
3590000.0,-147.53962553529396
3600000.0,-149.04388634389932
3610000.0,-148.02017054561622
3620000.0,-148.4427561211069
3630000.0,-147.76004552603592
3640000.0,-149.12369339099794
3650000.0,-149.0332276402928
3660000.0,-147.31042326141005
3670000.0,-147.6995118080824
3680000.0,-147.11166163107356
3690000.0,-148.35169630970765
3700000.0,-148.923072475639
3710000.0,-148.3645374524978
3720000.0,-147.85268755093676
3730000.0,-147.6960322923548
3740000.0,-148.13850595639155
3750000.0,-148.07418109866546
3760000.0,-148.6027459845244
3770000.0,-147.5792813806815
3780000.0,-147.20713709705387
3790000.0,-147.72381455776224
3800000.0,-148.921949376826
3810000.0,-148.2414569966875
3820000.0,-147.7467063654878
3830000.0,-147.4671684127254
3840000.0,-148.4545780075225
3850000.0,-149.7461520452566
3860000.0,-148.07651288150055
3870000.0,-147.0975774314959
3880000.0,-147.5750657358574
3890000.0,-146.56527598079185
3900000.0,-148.24526450245682
3910000.0,-149.09671841756395
3920000.0,-148.35081131615325
3930000.0,-147.93271836555056
3940000.0,-146.74534566740238
3950000.0,-148.5377004826185
3960000.0,-148.41709421932356
3970000.0,-147.81319366042402
3980000.0,-148.5738963756121
3990000.0,-150.03155511456615
4000000.0,-148.92889470236645
4010000.0,-148.81718627054659
4020000.0,-150.2123523479011
4030000.0,-148.6829503998985
4040000.0,-147.61778258705004
4050000.0,-148.740842835173
4060000.0,-150.64094396813124
4070000.0,-149.66722236098897
4080000.0,-148.18165239640507
4090000.0,-148.78477839693187
4100000.0,-147.49257476059202
4110000.0,-148.6196877677588
4120000.0,-149.5559507871022
4130000.0,-147.4745126509281
4140000.0,-148.21577996264432
4150000.0,-150.19001874716096
4160000.0,-148.94254850348455
4170000.0,-147.8677337455527
4180000.0,-149.98682314165126
4190000.0,-148.661587943902
4200000.0,-148.92613958028082
4210000.0,-149.9301854651541
4220000.0,-148.94576219545178
4230000.0,-149.43080599137397
4240000.0,-149.25547580551333
4250000.0,-150.72587064117468
4260000.0,-150.0751638482502
4270000.0,-150.19553416136162
4280000.0,-149.04928945038938
4290000.0,-150.57799274715146
4300000.0,-150.21931686049064
4310000.0,-150.73593670182152
4320000.0,-150.78452557819594
4330000.0,-153.31809456812695
4340000.0,-150.23771456741764
